route_short_name,direction_id,segment,start_stop_sample,end_stop_sample,n_obs,mean_run_time_sec,median_run_time_sec,p10_run_time_sec,p90_run_time_sec,iqr_run_time_sec,std_run_time_sec,mean_dwell_time_sec,median_dwell_time_sec,p90_dwell_time_sec,std_dwell_time_sec,mean_total_time_sec,median_total_time_sec,p10_total_time_sec,p90_total_time_sec,iqr_total_time_sec,std_total_time_sec,cv_total_time,is_high_variability_segment
12,1,42,Biznes tsentr Asyl-Tau,Detskii sad Balbulak,54,395.69,139.5,38.6,1164.3,460.5,459.03,7.33,1.5,21.4,11.28,403.02,146.0,43.2,1166.8,451.5,455.2,1.1295,0
10,1,39,Astana EKSPO,Astana EKSPO,41,262.05,251.0,68.0,510.0,341.0,186.64,2.44,0.0,10.0,4.72,264.49,251.0,68.0,512.0,339.0,187.39,0.7085,0
12,1,41,Kanal Nura-Esil',Biznes tsentr Asyl-Tau,135,254.27,300.0,32.8,402.6,298.0,219.75,8.16,4.0,25.0,9.99,262.44,307.0,45.2,405.4,280.0,215.05,0.8194,0
10,1,38,Bol'nitsa Meditsinskogo tsentra UDP RK,Astana EKSPO,57,290.14,301.0,28.0,475.2,249.0,194.24,19.65,2.0,27.4,64.54,309.79,305.0,62.6,530.6,248.0,195.51,0.6311,0
10,1,18,AO Kazmunaigaz,AO Kazmunaigaz,3335,212.63,201.0,9.0,411.6,195.0,180.91,49.95,44.0,95.0,56.05,262.58,251.0,16.0,488.6,226.0,198.66,0.7566,1
12,1,40,Detskii sad Balbulak,Kanal Nura-Esil',295,147.75,64.0,28.4,339.6,224.0,174.13,15.39,14.0,28.0,12.2,163.14,86.0,41.0,344.8,215.0,170.77,1.0468,0
46,1,18,Akan Sery,Akan Sery,3945,221.89,253.0,57.4,369.0,224.0,136.13,14.24,7.0,35.0,15.87,236.13,264.0,71.0,380.0,214.0,132.95,0.563,1
46,2,17,Bukhar zhyrau,Dom ministerstv,4177,476.68,461.0,110.6,745.0,206.0,290.34,38.35,34.0,60.0,23.77,515.03,499.0,140.0,790.0,209.0,297.28,0.5772,1
10,1,14,Dom Ministerstv,Dom Ministerstv,3321,395.61,333.0,240.0,628.0,194.0,199.88,35.74,37.0,59.0,21.73,431.35,372.0,268.0,670.0,197.0,202.17,0.4687,1
10,2,21,Biznes tsentr Asyl-Tau,Biznes tsentr Asyl-Tau,3145,373.65,354.0,204.4,559.0,183.0,185.03,18.01,8.0,47.0,21.68,391.66,370.0,220.0,576.6,186.0,188.02,0.4801,1
46,1,33,Dom Ministerstv,Dom Ministerstv,3939,111.84,58.0,17.0,252.0,153.0,128.83,21.26,18.0,44.0,26.46,133.1,87.0,21.0,281.2,176.0,137.79,1.0352,1
10,1,45,K'arlyg'ash balabak'shasy,Finansovyi tsentr,4,130.75,98.0,36.7,251.0,138.25,121.12,7.5,3.0,18.6,11.36,138.25,110.0,36.7,262.4,157.75,125.32,0.9064,0
10,2,25,Biznes tsentr Asyl-Tau,Biznes tsentr Asyl-Tau,3144,206.04,173.0,83.0,352.0,109.0,150.73,48.58,23.0,137.0,75.3,254.62,200.0,107.0,471.0,153.0,193.6,0.7604,1
46,1,32,Dom Ministerstv,Dom Ministerstv,3944,141.2,95.0,26.0,274.7,149.25,132.29,27.8,24.0,48.0,28.98,169.0,130.0,40.0,305.0,150.0,138.18,0.8176,1
46,1,35,AO Kazmunaigaz,AO Kazmunaigaz,3923,118.13,105.0,17.0,235.0,146.0,113.81,24.47,23.0,45.0,21.78,142.6,130.0,26.0,262.0,149.0,120.44,0.8446,1
10,2,26,Biznes tsentr Asyl-Tau,Biznes tsentr Asyl-Tau,3143,260.75,263.0,95.0,396.8,131.0,115.74,31.04,27.0,44.0,25.68,291.79,293.0,125.0,433.0,135.0,120.95,0.4145,1
12,1,15,Dom Ministerstv,Dom Ministerstv,2917,201.74,199.0,61.0,327.0,136.0,116.61,26.13,24.0,45.0,22.88,227.87,222.0,91.0,356.4,135.0,117.65,0.5163,1
46,2,29,Akan Sery,Akan Sery,4149,237.71,249.0,79.0,345.0,122.0,128.83,24.52,24.0,39.2,13.54,262.23,276.0,97.0,374.0,129.0,132.15,0.504,1
10,1,19,AO Kazmunaigaz,Biznes tsentr Asyl-Tau,3329,65.02,13.0,4.0,190.0,76.0,111.66,33.85,8.0,77.0,62.55,98.87,45.0,8.0,270.0,129.0,140.83,1.4244,1
46,2,15,Bukhar zhyrau,Dom ministerstv,4160,239.63,202.0,107.0,407.0,118.0,159.99,37.66,28.0,70.0,33.57,277.28,238.0,134.0,456.1,126.0,169.64,0.6118,1
46,1,34,Dom Ministerstv,AO Kazmunaigaz,3943,85.12,38.0,15.0,210.0,103.0,106.37,20.42,16.0,44.0,23.24,105.54,63.0,21.0,241.8,125.0,113.02,1.0709,1
