route_id,route_short_name,direction_id,segment,start_guid,end_guid,start_stop_name,end_stop_name,observation_count,median_run_time_seconds,mean_run_time_seconds,p10_run_time_seconds,p25_run_time_seconds,p75_run_time_seconds,p90_run_time_seconds,std_run_time_seconds,min_run_time_seconds,max_run_time_seconds,p90_median_ratio
d626b854-27aa-41d4-8625-ebafa73d8f21,10,1,2,09b35dc0-2e95-4c03-b488-5eda1557f68b,d81e04ca-9213-4363-b2d1-34580954fc9e,Ulitsa Birzhan sal,Ulitsa Il'iasa Esenberlina,3330.0,138.0,140.35,93.0,114.0,163.0,186.0,45.98,6.0,936.0,1.35
d626b854-27aa-41d4-8625-ebafa73d8f21,10,1,3,d81e04ca-9213-4363-b2d1-34580954fc9e,f61c6540-7d01-4563-a8a6-ef667d64ea20,Ulitsa Il'iasa Esenberlina,Agrotekhnicheskii universitet,3333.0,39.0,39.53,22.0,29.0,49.0,58.0,15.26,1.0,183.0,1.49
d626b854-27aa-41d4-8625-ebafa73d8f21,10,1,4,f61c6540-7d01-4563-a8a6-ef667d64ea20,4fddb84f-fb97-43b8-a619-e667607dc9de,Agrotekhnicheskii universitet,Meditsinskii universitet Astana,3330.0,39.0,39.65,27.0,33.0,45.0,51.0,16.19,1.0,638.0,1.31
d626b854-27aa-41d4-8625-ebafa73d8f21,10,1,5,4fddb84f-fb97-43b8-a619-e667607dc9de,5ea2fd87-18be-448c-ba4a-011ed7449f1e,Meditsinskii universitet Astana,Politekhnicheskii kolledzh,3335.0,98.0,96.9,61.0,74.0,113.0,126.0,31.93,12.0,471.0,1.29
d626b854-27aa-41d4-8625-ebafa73d8f21,10,1,6,5ea2fd87-18be-448c-ba4a-011ed7449f1e,90bbca78-c461-4348-9ec8-4911c68a3ae3,Politekhnicheskii kolledzh,Biznes tsentr Marden,3334.0,99.0,101.78,66.0,82.0,120.0,138.0,32.93,12.0,458.0,1.39
d626b854-27aa-41d4-8625-ebafa73d8f21,10,1,7,90bbca78-c461-4348-9ec8-4911c68a3ae3,639393f6-22fb-4ab6-a13d-98f9131736b2,Biznes tsentr Marden,Narodnyi bank,3335.0,115.0,118.97,79.0,95.0,136.5,161.0,37.93,9.0,677.0,1.4
d626b854-27aa-41d4-8625-ebafa73d8f21,10,1,8,639393f6-22fb-4ab6-a13d-98f9131736b2,e0edfbd5-454b-49aa-bd3f-9f55d679c2a4,Narodnyi bank,Ulitsa Amangel'dy Imanova,3335.0,174.0,176.83,118.0,141.0,205.0,238.0,53.56,3.0,895.0,1.37
d626b854-27aa-41d4-8625-ebafa73d8f21,10,1,9,e0edfbd5-454b-49aa-bd3f-9f55d679c2a4,3abac3ba-87c0-480c-aa39-fc3ec081e9c6,Ulitsa Amangel'dy Imanova,Zhanibek Tarkhana,3332.0,95.0,91.89,43.0,80.0,107.0,119.0,32.46,7.0,568.0,1.25
d626b854-27aa-41d4-8625-ebafa73d8f21,10,1,10,3abac3ba-87c0-480c-aa39-fc3ec081e9c6,4aed197d-2627-48aa-9191-4b45ed52ddbb,Zhanibek Tarkhana,Mikroraion Samal,3332.0,67.0,69.65,46.0,56.0,80.0,94.0,21.93,8.0,272.0,1.4
d626b854-27aa-41d4-8625-ebafa73d8f21,10,1,11,4aed197d-2627-48aa-9191-4b45ed52ddbb,f86c97bc-80c0-4a7e-bbc0-4dbff06148ab,Mikroraion Samal,Park Atatiurk,3326.0,45.0,45.88,28.0,36.0,55.0,63.0,15.86,1.0,234.0,1.4
