route_short_name,direction_id,segments_traversed,fallback_median_seconds,sample_count
10,1,1,78.0,80548
10,1,2,191.0,77986
10,1,3,306.0,75427
10,1,4,433.0,72880
10,1,5,562.0,70340
10,1,6,697.0,67805
10,1,7,825.0,65276
10,1,8,951.0,62752
10,1,9,1075.0,60233
10,1,10,1206.0,57717
10,1,11,1343.0,55210
10,1,12,1485.0,52707
10,1,13,1631.0,50205
10,1,14,1758.0,47717
10,1,15,1887.0,45249
10,1,16,2024.0,42819
10,1,17,2160.0,40450
10,1,18,2292.0,38108
10,1,19,2420.0,35812
10,1,20,2545.0,33540
10,1,21,2673.0,31301
10,1,22,2804.0,29124
10,1,23,2923.0,26954
10,1,24,3037.0,24797
10,1,25,3148.0,22641
10,1,26,3262.0,20487
10,1,27,3376.0,18336
10,1,28,3497.0,16191
10,1,29,3612.0,14051
10,1,30,3722.0,11911
10,1,31,3834.0,9776
10,1,32,3941.0,7644
10,1,33,4041.0,5516
10,1,34,4139.0,3397
10,1,35,4223.0,1283
10,1,36,4399.5,210
10,1,37,4794.5,52
10,1,38,4884.0,33
10,1,39,4976.5,24
10,1,40,5042.0,17
10,1,41,5128.0,11
10,1,42,5208.0,7
10,1,43,5346.0,5
10,1,44,5622.0,3
10,1,45,5760.0,1
10,2,1,66.0,84884
10,2,2,174.0,82499
10,2,3,289.0,80168
10,2,4,408.0,77844
10,2,5,533.0,75533
10,2,6,657.0,73232
10,2,7,781.0,70934
10,2,8,899.0,68641
10,2,9,1019.0,66353
10,2,10,1143.0,64070
10,2,11,1282.0,61787
10,2,12,1423.0,59507
10,2,13,1561.0,57231
10,2,14,1701.0,54956
10,2,15,1840.0,52686
10,2,16,1967.0,50418
10,2,17,2088.0,48152
10,2,18,2218.0,45915
10,2,19,2357.0,43695
10,2,20,2498.0,41498
10,2,21,2612.0,39312
10,2,22,2730.0,37145
10,2,23,2848.0,34981
10,2,24,2969.0,32844
10,2,25,3087.0,30717
10,2,26,3195.0,28591
10,2,27,3302.0,26470
10,2,28,3403.0,24349
10,2,29,3501.0,22229
10,2,30,3600.0,20109
10,2,31,3703.0,17989
10,2,32,3808.0,15869
10,2,33,3891.0,13749
10,2,34,3972.0,11631
10,2,35,4050.0,9519
10,2,36,4135.0,7527
10,2,37,4229.0,5573
10,2,38,4335.0,3642
10,2,39,4488.0,1765
10,2,40,4421.0,78
10,2,41,4929.0,3
10,2,42,5009.0,1
12,1,1,71.0,71724
12,1,2,182.0,69440
12,1,3,296.0,67163
12,1,4,414.0,64907
12,1,5,526.0,62664
12,1,6,633.0,60444
12,1,7,745.0,58243
12,1,8,859.0,56069
12,1,9,979.0,53930
12,1,10,1100.0,51808
12,1,11,1219.0,49700
12,1,12,1339.0,47602
12,1,13,1461.0,45542
12,1,14,1582.0,43545
12,1,15,1701.0,41579
12,1,16,1818.0,39618
12,1,17,1934.0,37667
12,1,18,2053.0,35732
12,1,19,2173.0,33810
12,1,20,2285.0,31931
12,1,21,2398.0,30068
12,1,22,2508.0,28221
12,1,23,2619.0,26385
12,1,24,2729.0,24558
12,1,25,2834.0,22740
12,1,26,2937.0,20949
12,1,27,3041.0,19203
12,1,28,3142.0,17475
12,1,29,3246.0,15759
12,1,30,3350.0,14046
12,1,31,3457.0,12338
12,1,32,3571.0,10633
12,1,33,3681.0,8931
12,1,34,3777.0,7238
12,1,35,3870.0,5547
12,1,36,3955.0,3877
12,1,37,4035.0,2259
12,1,38,4098.0,838
12,1,39,4437.0,133
12,1,40,4646.0,76
12,1,41,4770.0,59
12,1,42,4836.0,51
12,1,43,4938.5,44
12,1,44,5029.5,38
12,1,45,5109.0,32
12,1,46,5236.5,26
12,1,47,5299.0,21
12,1,48,5272.5,16
12,1,49,5308.0,11
12,1,50,5395.0,7
12,1,51,5450.0,5
12,1,52,5508.0,3
12,1,53,5596.0,2
12,1,54,5684.0,1
12,2,1,63.0,63005
12,2,2,167.0,61363
12,2,3,267.0,59736
12,2,4,362.0,58155
12,2,5,463.0,56580
12,2,6,564.0,55010
12,2,7,667.0,53444
12,2,8,770.0,51881
12,2,9,876.0,50318
12,2,10,980.0,48755
12,2,11,1082.0,47193
12,2,12,1187.0,45632
12,2,13,1296.0,44073
12,2,14,1405.0,42517
12,2,15,1516.0,40982
12,2,16,1621.0,39450
12,2,17,1728.0,37933
12,2,18,1836.0,36420
12,2,19,1948.0,34916
12,2,20,2058.0,33416
12,2,21,2168.0,31919
12,2,22,2276.0,30425
12,2,23,2380.0,28944
12,2,24,2480.0,27467
12,2,25,2579.0,25992
12,2,26,2672.0,24519
12,2,27,2770.0,23053
12,2,28,2868.0,21592
12,2,29,2967.0,20139
12,2,30,3061.0,18688
12,2,31,3155.0,17240
12,2,32,3246.0,15796
12,2,33,3340.0,14355
12,2,34,3434.0,12918
12,2,35,3526.0,11488
12,2,36,3616.0,10080
12,2,37,3705.0,8696
12,2,38,3792.0,7337
12,2,39,3899.0,6033
12,2,40,4001.0,4755
12,2,41,4097.0,3497
12,2,42,4206.0,2249
12,2,43,4364.0,1035
12,2,44,4421.0,9
46,1,1,69.0,105659
46,1,2,182.0,102501
46,1,3,296.0,99488
46,1,4,417.0,96594
46,1,5,541.0,93729
46,1,6,668.0,90868
46,1,7,789.0,88014
46,1,8,908.0,85174
46,1,9,1029.0,82361
46,1,10,1155.0,79562
46,1,11,1276.0,76774
46,1,12,1399.0,73993
46,1,13,1517.0,71222
46,1,14,1630.0,68465
46,1,15,1745.0,65726
46,1,16,1862.0,63003
46,1,17,1982.0,60295
46,1,18,2105.0,57598
46,1,19,2225.0,54905
46,1,20,2347.0,52219
46,1,21,2468.0,49544
46,1,22,2593.0,46887
46,1,23,2715.0,44243
46,1,24,2835.0,41605
46,1,25,2946.0,38978
46,1,26,3053.0,36368
46,1,27,3158.0,33771
46,1,28,3260.0,31182
46,1,29,3360.0,28595
46,1,30,3460.0,26025
46,1,31,3562.0,23461
